<<<<<<< HEAD
Time Stamp;$pressure_measured_ECC$;
09.01.2025 19:07:04;3.34;
09.01.2025 19:07:05;3.33;
09.01.2025 19:07:06;3.34;
09.01.2025 19:07:08;3.34;
09.01.2025 19:07:09;3.33;
09.01.2025 19:07:10;3.33;
09.01.2025 19:07:11;3.34;
09.01.2025 19:07:12;3.35;
09.01.2025 19:07:13;3.33;
09.01.2025 19:07:14;3.34;
09.01.2025 19:07:18;3.34;
09.01.2025 19:07:19;3.33;
09.01.2025 19:07:20;3.34;
09.01.2025 19:07:23;3.34;
09.01.2025 19:07:24;3.33;
09.01.2025 19:07:25;3.34;
09.01.2025 19:07:26;3.33;
09.01.2025 19:07:28;3.33;
09.01.2025 19:07:29;3.34;
09.01.2025 19:07:31;3.34;
09.01.2025 19:07:32;3.33;
09.01.2025 19:07:34;3.33;
09.01.2025 19:07:35;3.34;
09.01.2025 19:07:37;3.34;
09.01.2025 19:07:38;3.33;
09.01.2025 19:07:39;3.34;
09.01.2025 19:07:41;3.34;
09.01.2025 19:07:42;3.33;
09.01.2025 19:07:43;3.34;
09.01.2025 19:07:47;3.34;
09.01.2025 19:07:48;3.33;
09.01.2025 19:07:49;3.34;
09.01.2025 19:07:50;3.34;
09.01.2025 19:07:51;3.33;
09.01.2025 19:07:52;3.34;
09.01.2025 19:07:53;3.34;
09.01.2025 19:07:54;3.32;
09.01.2025 19:07:55;3.34;
09.01.2025 19:07:56;3.34;
09.01.2025 19:07:57;3.33;
09.01.2025 19:07:59;3.33;
09.01.2025 19:08:00;3.34;
09.01.2025 19:08:01;3.34;
09.01.2025 19:08:02;3.33;
09.01.2025 19:08:05;3.33;
09.01.2025 19:08:06;3.34;
09.01.2025 19:08:08;3.34;
09.01.2025 19:08:09;3.33;
09.01.2025 19:08:10;3.33;
09.01.2025 19:08:11;3.34;
09.01.2025 19:08:25;3.34;
09.01.2025 19:08:26;3.33;
09.01.2025 19:08:27;3.33;
09.01.2025 19:08:28;3.34;
09.01.2025 19:08:32;3.34;
09.01.2025 19:08:33;3.33;
09.01.2025 19:08:35;3.33;
09.01.2025 19:08:36;3.34;
09.01.2025 19:08:37;3.33;
09.01.2025 19:08:39;3.33;
09.01.2025 19:08:40;3.34;
09.01.2025 19:08:41;3.34;
09.01.2025 19:08:42;3.33;
09.01.2025 19:08:51;3.33;
09.01.2025 19:08:52;3.32;
09.01.2025 19:08:53;3.34;
09.01.2025 19:08:54;3.33;
09.01.2025 19:08:57;3.33;
09.01.2025 19:08:58;3.34;
09.01.2025 19:08:59;3.33;
09.01.2025 19:09:00;3.32;
09.01.2025 19:09:01;3.33;
09.01.2025 19:09:02;3.34;
09.01.2025 19:09:03;3.33;
09.01.2025 19:09:06;3.33;
09.01.2025 19:09:07;3.34;
09.01.2025 19:09:08;3.34;
09.01.2025 19:09:09;3.33;
09.01.2025 19:09:10;3.33;
09.01.2025 19:09:11;3.34;
09.01.2025 19:09:12;3.33;
09.01.2025 19:09:14;3.33;
09.01.2025 19:09:15;3.34;
09.01.2025 19:09:16;3.33;
09.01.2025 19:09:27;3.33;
09.01.2025 19:09:28;3.34;
09.01.2025 19:09:29;3.33;
09.01.2025 19:09:34;3.33;
09.01.2025 19:09:35;3.32;
09.01.2025 19:09:36;3.34;
09.01.2025 19:09:37;3.33;
09.01.2025 19:09:42;3.33;
09.01.2025 19:09:43;3.32;
09.01.2025 19:09:44;3.34;
09.01.2025 19:09:45;3.33;
09.01.2025 19:09:46;3.33;
09.01.2025 19:09:47;3.32;
09.01.2025 19:09:48;3.33;
09.01.2025 19:09:51;3.33;
09.01.2025 19:09:52;3.32;
09.01.2025 19:09:53;3.33;
09.01.2025 19:09:54;3.34;
09.01.2025 19:09:55;3.33;
09.01.2025 19:09:56;3.32;
09.01.2025 19:09:57;3.34;
09.01.2025 19:09:58;3.34;
09.01.2025 19:09:59;3.32;
09.01.2025 19:10:00;3.32;
09.01.2025 19:10:01;3.33;
09.01.2025 19:10:03;3.33;
09.01.2025 19:10:04;3.32;
09.01.2025 19:10:06;3.32;
09.01.2025 19:10:07;3.33;
09.01.2025 19:10:08;3.33;
09.01.2025 19:10:09;3.32;
09.01.2025 19:10:10;3.32;
09.01.2025 19:10:11;3.33;
09.01.2025 19:10:12;3.32;
09.01.2025 19:10:13;3.33;
09.01.2025 19:10:16;3.33;
09.01.2025 19:10:17;3.32;
09.01.2025 19:10:18;3.33;
09.01.2025 19:10:20;3.33;
09.01.2025 19:10:21;3.32;
09.01.2025 19:10:22;3.33;
09.01.2025 19:10:23;3.33;
09.01.2025 19:10:24;3.32;
09.01.2025 19:10:25;3.32;
09.01.2025 19:10:26;3.34;
09.01.2025 19:10:27;3.33;
09.01.2025 19:10:28;3.32;
09.01.2025 19:10:31;3.32;
09.01.2025 19:10:32;3.33;
09.01.2025 19:10:34;3.33;
09.01.2025 19:10:35;3.32;
09.01.2025 19:10:37;3.32;
09.01.2025 19:10:38;3.33;
09.01.2025 19:10:39;3.33;
09.01.2025 19:10:40;3.32;
09.01.2025 19:10:43;3.32;
09.01.2025 19:10:44;3.33;
09.01.2025 19:10:45;3.32;
09.01.2025 19:10:46;3.33;
09.01.2025 19:10:47;3.32;
09.01.2025 19:10:48;3.33;
09.01.2025 19:10:49;3.32;
09.01.2025 19:10:50;3.32;
09.01.2025 19:10:51;3.33;
09.01.2025 19:10:52;3.33;
09.01.2025 19:10:53;3.32;
09.01.2025 19:10:54;3.32;
09.01.2025 19:10:55;3.33;
09.01.2025 19:10:57;3.33;
09.01.2025 19:10:58;3.31;
09.01.2025 19:10:59;3.33;
09.01.2025 19:11:00;3.32;
09.01.2025 19:11:06;3.32;
09.01.2025 19:11:07;3.33;
09.01.2025 19:11:08;3.32;
09.01.2025 19:11:11;3.32;
09.01.2025 19:11:12;3.33;
09.01.2025 19:11:13;3.32;
09.01.2025 19:11:14;3.33;
09.01.2025 19:11:15;3.33;
09.01.2025 19:11:16;3.32;
09.01.2025 19:11:24;3.32;
09.01.2025 19:11:25;3.33;
09.01.2025 19:11:26;3.32;
09.01.2025 19:11:27;3.33;
09.01.2025 19:11:28;3.32;
09.01.2025 19:11:31;3.32;
09.01.2025 19:11:32;3.33;
09.01.2025 19:11:33;3.33;
09.01.2025 19:11:34;3.31;
09.01.2025 19:11:35;3.32;
09.01.2025 19:11:37;3.32;
09.01.2025 19:11:38;3.31;
09.01.2025 19:11:39;3.33;
09.01.2025 19:11:40;3.32;
09.01.2025 19:11:41;3.32;
09.01.2025 19:11:42;3.31;
09.01.2025 19:11:43;3.32;
09.01.2025 19:11:44;3.32;
09.01.2025 19:11:45;3.33;
09.01.2025 19:11:47;3.33;
09.01.2025 19:11:48;3.32;
09.01.2025 19:12:00;3.32;
09.01.2025 19:12:01;3.33;
09.01.2025 19:12:02;3.32;
09.01.2025 19:12:04;3.32;
09.01.2025 19:12:05;3.33;
09.01.2025 19:12:06;3.32;
09.01.2025 19:12:10;3.32;
09.01.2025 19:12:11;3.31;
09.01.2025 19:12:12;3.31;
09.01.2025 19:12:13;3.32;
09.01.2025 19:12:14;3.32;
09.01.2025 19:12:15;3.31;
09.01.2025 19:12:16;3.31;
09.01.2025 19:12:17;3.32;
09.01.2025 19:12:20;3.32;
09.01.2025 19:12:21;3.33;
09.01.2025 19:12:22;3.32;
09.01.2025 19:12:23;3.31;
09.01.2025 19:12:24;3.32;
09.01.2025 19:12:25;3.33;
09.01.2025 19:12:26;3.32;
09.01.2025 19:12:31;3.32;
09.01.2025 19:12:32;3.31;
09.01.2025 19:12:33;3.32;
09.01.2025 19:12:47;3.32;
09.01.2025 19:12:48;3.33;
09.01.2025 19:12:49;3.32;
09.01.2025 19:12:50;3.31;
09.01.2025 19:12:51;3.32;
09.01.2025 19:12:52;3.32;
09.01.2025 19:12:53;3.33;
09.01.2025 19:12:54;3.33;
09.01.2025 19:12:55;3.32;
09.01.2025 19:12:58;3.32;
09.01.2025 19:12:59;3.33;
09.01.2025 19:13:00;3.32;
09.01.2025 19:13:01;3.32;
09.01.2025 19:13:02;3.31;
09.01.2025 19:13:03;3.32;
09.01.2025 19:13:08;3.32;
09.01.2025 19:13:09;3.31;
09.01.2025 19:13:10;3.31;
09.01.2025 19:13:11;3.32;
09.01.2025 19:13:14;3.32;
09.01.2025 19:13:15;3.31;
09.01.2025 19:13:16;3.32;
09.01.2025 19:13:19;3.32;
09.01.2025 19:13:20;3.33;
09.01.2025 19:13:21;3.32;
09.01.2025 19:13:27;3.32;
09.01.2025 19:13:28;3.31;
09.01.2025 19:13:29;3.31;
09.01.2025 19:13:30;3.32;
09.01.2025 19:13:33;3.32;
09.01.2025 19:13:34;3.31;
09.01.2025 19:13:35;3.32;
09.01.2025 19:13:36;3.31;
09.01.2025 19:13:37;3.32;
09.01.2025 19:13:38;3.32;
