Time Stamp;$pressure_measured_ECC$;
04.12.2024 06:15:43;17.56;
04.12.2024 06:15:44;17.56;
04.12.2024 06:15:45;17.57;
04.12.2024 06:15:46;17.56;
04.12.2024 06:15:49;17.56;
04.12.2024 06:15:50;17.57;
04.12.2024 06:15:51;17.56;
04.12.2024 06:15:52;17.57;
04.12.2024 06:15:53;17.57;
04.12.2024 06:15:54;17.56;
04.12.2024 06:15:55;17.57;
04.12.2024 06:15:56;17.56;
04.12.2024 06:15:58;17.56;
04.12.2024 06:15:59;17.57;
04.12.2024 06:16:00;17.56;
04.12.2024 06:16:01;17.56;
04.12.2024 06:16:02;17.57;
04.12.2024 06:16:03;17.56;
04.12.2024 06:16:06;17.56;
04.12.2024 06:16:07;17.55;
04.12.2024 06:16:08;17.56;
04.12.2024 06:16:09;17.57;
04.12.2024 06:16:10;17.55;
04.12.2024 06:16:11;17.56;
04.12.2024 06:16:12;17.56;
04.12.2024 06:16:13;17.55;
04.12.2024 06:16:14;17.56;
04.12.2024 06:16:15;17.56;
04.12.2024 06:16:16;17.55;
04.12.2024 06:16:17;17.56;
04.12.2024 06:16:19;17.56;
04.12.2024 06:16:20;17.55;
04.12.2024 06:16:21;17.56;
04.12.2024 06:16:25;17.56;
04.12.2024 06:16:26;17.55;
04.12.2024 06:16:27;17.55;
04.12.2024 06:16:28;17.56;
04.12.2024 06:16:32;17.56;
04.12.2024 06:16:33;17.55;
04.12.2024 06:16:34;17.56;
04.12.2024 06:16:35;17.56;
04.12.2024 06:16:36;17.55;
04.12.2024 06:16:37;17.56;
04.12.2024 06:16:40;17.56;
04.12.2024 06:16:41;17.55;
04.12.2024 06:16:42;17.55;
04.12.2024 06:16:43;17.56;
04.12.2024 06:16:44;17.55;
04.12.2024 06:16:47;17.55;
04.12.2024 06:16:48;17.56;
04.12.2024 06:16:49;17.55;
04.12.2024 06:16:54;17.55;
04.12.2024 06:16:55;17.56;
04.12.2024 06:16:58;17.56;
04.12.2024 06:16:59;17.55;
04.12.2024 06:17:00;17.56;
04.12.2024 06:17:02;17.56;
04.12.2024 06:17:03;17.55;
04.12.2024 06:17:04;17.55;
04.12.2024 06:17:05;17.56;
04.12.2024 06:17:06;17.56;
04.12.2024 06:17:07;17.55;
04.12.2024 06:17:11;17.55;
04.12.2024 06:17:12;17.56;
04.12.2024 06:17:13;17.55;
04.12.2024 06:17:14;17.56;
04.12.2024 06:17:15;17.56;
04.12.2024 06:17:16;17.55;
04.12.2024 06:17:17;17.55;
04.12.2024 06:17:18;17.56;
04.12.2024 06:17:19;17.55;
04.12.2024 06:17:21;17.55;
04.12.2024 06:17:22;17.56;
04.12.2024 06:17:23;17.55;
04.12.2024 06:17:24;17.55;
04.12.2024 06:17:25;17.56;
04.12.2024 06:17:26;17.55;
04.12.2024 06:17:27;17.55;
04.12.2024 06:17:28;17.54;
04.12.2024 06:17:29;17.55;
04.12.2024 06:17:31;17.55;
04.12.2024 06:17:32;17.54;
04.12.2024 06:17:33;17.55;
04.12.2024 06:17:34;17.54;
04.12.2024 06:17:35;17.55;
04.12.2024 06:17:36;17.55;
04.12.2024 06:17:37;17.54;
04.12.2024 06:17:38;17.55;
04.12.2024 06:17:39;17.55;
04.12.2024 06:17:40;17.56;
04.12.2024 06:17:41;17.54;
04.12.2024 06:17:44;17.54;
04.12.2024 06:17:45;17.55;
04.12.2024 06:17:48;17.55;
04.12.2024 06:17:49;17.54;
04.12.2024 06:17:52;17.54;
04.12.2024 06:17:53;17.55;
04.12.2024 06:17:54;17.54;
04.12.2024 06:17:55;17.54;
04.12.2024 06:17:56;17.55;
04.12.2024 06:17:57;17.54;
04.12.2024 06:17:58;17.54;
04.12.2024 06:17:59;17.55;
04.12.2024 06:18:00;17.54;
04.12.2024 06:18:01;17.53;
04.12.2024 06:18:02;17.54;
04.12.2024 06:18:03;17.53;
04.12.2024 06:18:04;17.54;
04.12.2024 06:18:09;17.54;
04.12.2024 06:18:10;17.55;
04.12.2024 06:18:11;17.53;
04.12.2024 06:18:12;17.54;
04.12.2024 06:18:13;17.54;
04.12.2024 06:18:14;17.55;
04.12.2024 06:18:15;17.53;
04.12.2024 06:18:16;17.55;
04.12.2024 06:18:17;17.55;
04.12.2024 06:18:18;17.54;
04.12.2024 06:18:19;17.55;
04.12.2024 06:18:20;17.54;
04.12.2024 06:18:22;17.54;
04.12.2024 06:18:23;17.53;
04.12.2024 06:18:24;17.54;
04.12.2024 06:18:25;17.54;
04.12.2024 06:18:26;17.55;
04.12.2024 06:18:27;17.54;
04.12.2024 06:18:31;17.54;
04.12.2024 06:18:32;17.55;
04.12.2024 06:18:33;17.54;
04.12.2024 06:18:36;17.54;
04.12.2024 06:18:37;17.53;
04.12.2024 06:18:39;17.53;
04.12.2024 06:18:40;17.54;
04.12.2024 06:18:43;17.54;
04.12.2024 06:18:44;17.53;
04.12.2024 06:18:46;17.53;
04.12.2024 06:18:47;17.54;
04.12.2024 06:18:48;17.55;
04.12.2024 06:18:49;17.54;
04.12.2024 06:18:51;17.54;
04.12.2024 06:18:52;17.53;
04.12.2024 06:18:56;17.53;
04.12.2024 06:18:57;17.54;
04.12.2024 06:18:58;17.54;
04.12.2024 06:18:59;17.53;
04.12.2024 06:19:01;17.53;
04.12.2024 06:19:02;17.54;
04.12.2024 06:19:03;17.53;
04.12.2024 06:19:04;17.54;
04.12.2024 06:19:05;17.53;
04.12.2024 06:19:06;17.53;
04.12.2024 06:19:07;17.54;
04.12.2024 06:19:08;17.53;
04.12.2024 06:19:18;17.53;
04.12.2024 06:19:19;17.54;
04.12.2024 06:19:20;17.54;
04.12.2024 06:19:21;17.53;
04.12.2024 06:19:22;17.53;
04.12.2024 06:19:23;17.52;
04.12.2024 06:19:24;17.53;
04.12.2024 06:19:27;17.53;
04.12.2024 06:19:28;17.54;
04.12.2024 06:19:29;17.52;
04.12.2024 06:19:31;17.52;
04.12.2024 06:19:32;17.53;
04.12.2024 06:19:33;17.53;
04.12.2024 06:19:34;17.52;
04.12.2024 06:19:35;17.53;
04.12.2024 06:19:36;17.52;
04.12.2024 06:19:37;17.53;
04.12.2024 06:19:38;17.52;
04.12.2024 06:19:39;17.53;
04.12.2024 06:19:40;17.53;
04.12.2024 06:19:41;17.52;
04.12.2024 06:19:44;17.52;
04.12.2024 06:19:45;17.53;
04.12.2024 06:19:46;17.52;
04.12.2024 06:19:49;17.52;
04.12.2024 06:19:50;17.53;
04.12.2024 06:19:51;17.52;
04.12.2024 06:20:00;17.52;
04.12.2024 06:20:01;17.53;
04.12.2024 06:20:02;17.53;
04.12.2024 06:20:03;17.52;
04.12.2024 06:20:10;17.52;
04.12.2024 06:20:11;17.51;
04.12.2024 06:20:12;17.51;
04.12.2024 06:20:13;17.52;
04.12.2024 06:20:14;17.53;
04.12.2024 06:20:15;17.52;
04.12.2024 06:20:16;17.51;
04.12.2024 06:20:23;17.51;
04.12.2024 06:20:24;17.52;
04.12.2024 06:20:25;17.51;
04.12.2024 06:20:26;17.52;
04.12.2024 06:20:28;17.52;
04.12.2024 06:20:29;17.51;
04.12.2024 06:20:30;17.52;
04.12.2024 06:20:33;17.52;
04.12.2024 06:20:34;17.51;
04.12.2024 06:20:35;17.52;
04.12.2024 06:20:36;17.51;
04.12.2024 06:20:37;17.52;
04.12.2024 06:20:38;17.51;
04.12.2024 06:20:39;17.52;
04.12.2024 06:20:40;17.51;
04.12.2024 06:20:41;17.51;
04.12.2024 06:20:42;17.52;
04.12.2024 06:20:43;17.51;
04.12.2024 06:20:44;17.51;
04.12.2024 06:20:45;17.52;
04.12.2024 06:20:46;17.51;
04.12.2024 06:20:55;17.51;
04.12.2024 06:20:56;17.5;
04.12.2024 06:20:57;17.51;
04.12.2024 06:20:59;17.51;
04.12.2024 06:21:00;17.5;
04.12.2024 06:21:01;17.51;
04.12.2024 06:21:06;17.51;
04.12.2024 06:21:07;17.5;
04.12.2024 06:21:08;17.51;
04.12.2024 06:21:13;17.51;
04.12.2024 06:21:14;17.5;
04.12.2024 06:21:15;17.52;
04.12.2024 06:21:16;17.51;
04.12.2024 06:21:18;17.51;
04.12.2024 06:21:19;17.5;
04.12.2024 06:21:21;17.5;
04.12.2024 06:21:22;17.51;
04.12.2024 06:21:24;17.51;
04.12.2024 06:21:25;17.5;
04.12.2024 06:21:30;17.5;
04.12.2024 06:21:31;17.51;
04.12.2024 06:21:32;17.5;
04.12.2024 06:21:34;17.5;
04.12.2024 06:21:35;17.51;
04.12.2024 06:21:36;17.5;
04.12.2024 06:21:37;17.5;
04.12.2024 06:21:38;17.51;
04.12.2024 06:21:39;17.51;
04.12.2024 06:21:40;17.5;
04.12.2024 06:21:47;17.5;
04.12.2024 06:21:48;17.49;
04.12.2024 06:21:49;17.5;
04.12.2024 06:21:50;17.5;
04.12.2024 06:21:51;17.49;
04.12.2024 06:21:52;17.49;
04.12.2024 06:21:53;17.5;
04.12.2024 06:21:56;17.5;
04.12.2024 06:21:57;17.49;
04.12.2024 06:21:59;17.49;
04.12.2024 06:22:00;17.5;
04.12.2024 06:22:02;17.5;
04.12.2024 06:22:03;17.49;
04.12.2024 06:22:04;17.5;
04.12.2024 06:22:05;17.49;
04.12.2024 06:22:09;17.49;
04.12.2024 06:22:10;17.5;
04.12.2024 06:22:13;17.5;
04.12.2024 06:22:14;17.49;
04.12.2024 06:22:17;17.49;
04.12.2024 06:22:18;17.5;
04.12.2024 06:22:19;17.49;
04.12.2024 06:22:20;17.5;
04.12.2024 06:22:21;17.49;
04.12.2024 06:22:23;17.49;
04.12.2024 06:22:24;17.5;
04.12.2024 06:22:25;17.49;
04.12.2024 06:22:32;17.49;
04.12.2024 06:22:33;17.5;
04.12.2024 06:22:34;17.49;
04.12.2024 06:22:46;17.49;
04.12.2024 06:22:47;17.5;
04.12.2024 06:22:48;17.5;
04.12.2024 06:22:49;17.49;
04.12.2024 06:22:50;17.5;
04.12.2024 06:22:51;17.49;
04.12.2024 06:22:55;17.49;
04.12.2024 06:22:56;17.48;
04.12.2024 06:22:57;17.48;
04.12.2024 06:22:58;17.5;
04.12.2024 06:22:59;17.49;
04.12.2024 06:23:00;17.48;
04.12.2024 06:23:02;17.48;
04.12.2024 06:23:03;17.49;
04.12.2024 06:23:04;17.48;
04.12.2024 06:23:05;17.49;
04.12.2024 06:23:06;17.48;
04.12.2024 06:23:07;17.48;
04.12.2024 06:23:08;17.49;
04.12.2024 06:23:10;17.49;
04.12.2024 06:23:11;17.48;
04.12.2024 06:23:12;17.49;
04.12.2024 06:23:13;17.48;
04.12.2024 06:23:14;17.49;
04.12.2024 06:23:15;17.49;
04.12.2024 06:23:16;17.48;
04.12.2024 06:23:17;17.48;
04.12.2024 06:23:18;17.49;
04.12.2024 06:23:19;17.48;
04.12.2024 06:23:20;17.49;
04.12.2024 06:23:21;17.48;
04.12.2024 06:23:23;17.48;
04.12.2024 06:23:24;17.49;
04.12.2024 06:23:25;17.48;
04.12.2024 06:23:26;17.48;
04.12.2024 06:23:27;17.49;
04.12.2024 06:23:28;17.49;
04.12.2024 06:23:29;17.48;
04.12.2024 06:23:30;17.48;
04.12.2024 06:23:31;17.49;
04.12.2024 06:23:32;17.48;
04.12.2024 06:23:35;17.48;
04.12.2024 06:23:36;17.49;
04.12.2024 06:23:37;17.47;
04.12.2024 06:23:38;17.48;
04.12.2024 06:23:39;17.49;
04.12.2024 06:23:40;17.48;
04.12.2024 06:23:41;17.47;
04.12.2024 06:23:42;17.48;
04.12.2024 06:23:44;17.48;
04.12.2024 06:23:45;17.47;
04.12.2024 06:23:46;17.48;
04.12.2024 06:23:47;17.47;
04.12.2024 06:23:48;17.47;
04.12.2024 06:23:49;17.48;
04.12.2024 06:23:51;17.48;
04.12.2024 06:23:52;17.47;
04.12.2024 06:23:53;17.48;
04.12.2024 06:23:54;17.48;
04.12.2024 06:23:55;17.47;
04.12.2024 06:23:56;17.48;
04.12.2024 06:23:57;17.47;
04.12.2024 06:23:58;17.47;
04.12.2024 06:23:59;17.48;
04.12.2024 06:24:00;17.47;
04.12.2024 06:24:01;17.47;
04.12.2024 06:24:02;17.48;
